psmsl_id,process,confidence,scenario,quantile,2020,2030.00,2040.00,2050.00,2060.00,2070.00,2080.00,2090.00,2100.00,2110.00,2120.00,2130.00,2140.00,2150.00
2025,total,medium,tlim1.5win0.25,5,0.028,0.12,0.16,0.17,0.19,0.19,0.23,0.28,0.32,0.30,0.33,0.35,0.38,0.41
2025,total,medium,tlim1.5win0.25,17,0.064,0.16,0.21,0.25,0.30,0.33,0.38,0.43,0.49,0.49,0.54,0.58,0.62,0.66
2025,total,medium,tlim1.5win0.25,50,0.109,0.20,0.28,0.36,0.45,0.52,0.58,0.64,0.74,0.78,0.85,0.92,0.98,1.05
2025,total,medium,tlim1.5win0.25,83,0.156,0.25,0.35,0.48,0.61,0.72,0.81,0.88,1.02,1.09,1.19,1.29,1.39,1.49
2025,total,medium,tlim1.5win0.25,95,0.193,0.28,0.41,0.57,0.73,0.88,0.98,1.05,1.22,1.31,1.44,1.56,1.68,1.80
2025,total,medium,tlim2.0win0.25,5,-0.001,0.10,0.17,0.22,0.27,0.29,0.30,0.35,0.50,0.49,0.54,0.58,0.63,0.67
2025,total,medium,tlim2.0win0.25,17,0.048,0.14,0.21,0.28,0.34,0.39,0.42,0.48,0.61,0.61,0.67,0.73,0.78,0.84
2025,total,medium,tlim2.0win0.25,50,0.112,0.20,0.28,0.36,0.45,0.53,0.60,0.67,0.79,0.83,0.91,0.99,1.07,1.15
2025,total,medium,tlim2.0win0.25,83,0.179,0.27,0.36,0.46,0.58,0.70,0.81,0.89,1.02,1.09,1.21,1.32,1.43,1.54
2025,total,medium,tlim2.0win0.25,95,0.231,0.33,0.42,0.54,0.69,0.84,0.97,1.07,1.20,1.30,1.43,1.57,1.70,1.83
2025,total,medium,tlim3.0win0.25,5,0.05,0.09,0.15,0.22,0.25,0.29,0.37,0.45,0.46,0.41,0.44,0.47,0.50,0.53
2025,total,medium,tlim3.0win0.25,17,0.082,0.13,0.21,0.29,0.36,0.42,0.49,0.57,0.61,0.59,0.64,0.69,0.74,0.79
2025,total,medium,tlim3.0win0.25,50,0.121,0.20,0.28,0.39,0.50,0.58,0.68,0.76,0.86,0.89,0.98,1.07,1.15,1.24
2025,total,medium,tlim3.0win0.25,83,0.163,0.27,0.37,0.51,0.66,0.78,0.89,1.00,1.17,1.25,1.39,1.52,1.65,1.78
2025,total,medium,tlim3.0win0.25,95,0.197,0.32,0.44,0.60,0.79,0.94,1.06,1.20,1.40,1.52,1.68,1.85,2.01,2.18
2025,total,medium,tlim4.0win0.25,5,0.034,0.14,0.19,0.21,0.23,0.26,0.33,0.46,0.56,0.53,0.59,0.66,0.72,0.78
2025,total,medium,tlim4.0win0.25,17,0.07,0.16,0.23,0.29,0.34,0.40,0.48,0.60,0.72,0.71,0.79,0.87,0.95,1.03
2025,total,medium,tlim4.0win0.25,50,0.112,0.20,0.29,0.39,0.50,0.59,0.69,0.82,0.98,1.03,1.15,1.27,1.39,1.50
2025,total,medium,tlim4.0win0.25,83,0.157,0.24,0.36,0.51,0.67,0.81,0.95,1.09,1.30,1.42,1.58,1.75,1.92,2.09
2025,total,medium,tlim4.0win0.25,95,0.194,0.27,0.41,0.60,0.81,0.98,1.14,1.30,1.54,1.69,1.90,2.11,2.31,2.52
2025,total,medium,tlim5.0win0.25,5,0.066,0.13,0.20,0.25,0.32,0.40,0.43,0.54,0.79,0.75,0.84,0.93,1.02,1.11
2025,total,medium,tlim5.0win0.25,17,0.089,0.16,0.25,0.32,0.41,0.50,0.58,0.70,0.89,0.87,0.97,1.07,1.17,1.27
2025,total,medium,tlim5.0win0.25,50,0.116,0.20,0.31,0.42,0.53,0.65,0.78,0.92,1.06,1.10,1.24,1.37,1.50,1.63
2025,total,medium,tlim5.0win0.25,83,0.146,0.24,0.37,0.52,0.67,0.83,1.02,1.19,1.33,1.46,1.64,1.83,2.01,2.20
2025,total,medium,tlim5.0win0.25,95,0.174,0.28,0.44,0.62,0.79,0.99,1.24,1.43,1.58,1.74,1.97,2.19,2.42,2.64
