psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1346,total,medium,tlim1.5win0.25,5,0.056,0.147,0.24,0.33,0.456,0.596,0.697,0.856,0.826,0.85,0.93,1.01,1.09,1.16
1346,total,medium,tlim1.5win0.25,17,0.106,0.212,0.32,0.423,0.544,0.673,0.785,0.939,0.972,1.00,1.10,1.19,1.28,1.37
1346,total,medium,tlim1.5win0.25,50,0.17,0.296,0.424,0.547,0.668,0.79,0.924,1.076,1.186,1.24,1.36,1.47,1.59,1.70
1346,total,medium,tlim1.5win0.25,83,0.235,0.385,0.535,0.683,0.808,0.934,1.095,1.253,1.434,1.52,1.66,1.81,1.95,2.09
1346,total,medium,tlim1.5win0.25,95,0.288,0.456,0.622,0.789,0.916,1.047,1.23,1.402,1.629,1.72,1.89,2.05,2.21,2.38
1346,total,medium,tlim2.0win0.25,5,0.022,0.103,0.26,0.421,0.435,0.522,0.704,0.861,1.035,1.08,1.18,1.28,1.38,1.48
1346,total,medium,tlim2.0win0.25,17,0.087,0.189,0.333,0.485,0.546,0.653,0.814,0.962,1.14,1.19,1.31,1.42,1.53,1.63
1346,total,medium,tlim2.0win0.25,50,0.164,0.293,0.426,0.572,0.694,0.832,0.978,1.125,1.318,1.41,1.54,1.68,1.81,1.94
1346,total,medium,tlim2.0win0.25,83,0.244,0.401,0.528,0.678,0.86,1.035,1.179,1.334,1.55,1.68,1.85,2.02,2.18,2.35
1346,total,medium,tlim2.0win0.25,95,0.308,0.489,0.61,0.765,0.995,1.199,1.342,1.51,1.75,1.89,2.09,2.28,2.47,2.66
1346,total,medium,tlim3.0win0.25,5,0.016,0.128,0.256,0.408,0.561,0.713,0.839,0.968,1.07,1.11,1.22,1.33,1.44,1.55
1346,total,medium,tlim3.0win0.25,17,0.084,0.201,0.327,0.473,0.618,0.772,0.91,1.052,1.193,1.25,1.38,1.50,1.62,1.75
1346,total,medium,tlim3.0win0.25,50,0.164,0.288,0.419,0.562,0.708,0.872,1.033,1.202,1.394,1.50,1.66,1.82,1.99,2.15
1346,total,medium,tlim3.0win0.25,83,0.244,0.381,0.52,0.669,0.827,1.014,1.209,1.414,1.658,1.83,2.03,2.24,2.45,2.66
1346,total,medium,tlim3.0win0.25,95,0.312,0.458,0.601,0.755,0.927,1.133,1.358,1.596,1.886,2.08,2.32,2.56,2.81,3.05
1346,total,medium,tlim4.0win0.25,5,0.114,0.19,0.283,0.362,0.501,0.66,0.8,0.963,1.119,1.17,1.31,1.45,1.58,1.71
1346,total,medium,tlim4.0win0.25,17,0.146,0.24,0.351,0.466,0.61,0.766,0.918,1.097,1.278,1.35,1.50,1.65,1.80,1.95
1346,total,medium,tlim4.0win0.25,50,0.184,0.302,0.438,0.598,0.751,0.917,1.101,1.308,1.526,1.65,1.84,2.03,2.22,2.41
1346,total,medium,tlim4.0win0.25,83,0.225,0.368,0.536,0.746,0.914,1.103,1.328,1.574,1.845,2.03,2.27,2.51,2.75,2.99
1346,total,medium,tlim4.0win0.25,95,0.259,0.424,0.616,0.865,1.05,1.256,1.51,1.795,2.101,2.32,2.59,2.87,3.15,3.43
1346,total,medium,tlim5.0win0.25,5,0.158,0.277,0.405,0.542,0.666,0.816,0.973,1.159,1.356,1.38,1.54,1.70,1.85,2.00
1346,total,medium,tlim5.0win0.25,17,0.167,0.292,0.426,0.573,0.711,0.874,1.041,1.245,1.451,1.50,1.67,1.84,2.01,2.16
1346,total,medium,tlim5.0win0.25,50,0.18,0.316,0.462,0.623,0.784,0.972,1.168,1.395,1.622,1.75,1.96,2.16,2.37,2.56
1346,total,medium,tlim5.0win0.25,83,0.197,0.35,0.513,0.7,0.893,1.119,1.361,1.63,1.907,2.11,2.38,2.64,2.90,3.16
1346,total,medium,tlim5.0win0.25,95,0.213,0.381,0.562,0.773,0.994,1.252,1.53,1.837,2.166,2.40,2.71,3.02,3.32,3.62
