psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
145,total,medium,tlim1.5win0.25,5,0.082,0.165,0.262,0.369,0.446,0.54,0.639,0.724,0.757,0.769,0.834,0.899,0.962,1.025
145,total,medium,tlim1.5win0.25,17,0.106,0.196,0.291,0.396,0.482,0.583,0.686,0.779,0.856,0.872,0.951,1.03,1.108,1.184
145,total,medium,tlim1.5win0.25,50,0.137,0.236,0.333,0.442,0.544,0.66,0.772,0.882,1.016,1.058,1.163,1.266,1.368,1.469
145,total,medium,tlim1.5win0.25,83,0.17,0.283,0.387,0.507,0.631,0.768,0.899,1.033,1.217,1.288,1.422,1.555,1.687,1.817
145,total,medium,tlim1.5win0.25,95,0.196,0.32,0.432,0.564,0.707,0.865,1.016,1.17,1.384,1.464,1.621,1.773,1.924,2.075
145,total,medium,tlim2.0win0.25,5,0.102,0.184,0.278,0.386,0.476,0.576,0.675,0.771,0.826,0.852,0.929,1.004,1.078,1.151
145,total,medium,tlim2.0win0.25,17,0.117,0.203,0.301,0.415,0.511,0.617,0.726,0.83,0.923,0.954,1.042,1.128,1.212,1.296
145,total,medium,tlim2.0win0.25,50,0.137,0.234,0.34,0.466,0.576,0.697,0.821,0.942,1.088,1.148,1.26,1.369,1.478,1.586
145,total,medium,tlim2.0win0.25,83,0.161,0.274,0.395,0.54,0.673,0.818,0.967,1.116,1.308,1.41,1.553,1.696,1.837,1.977
145,total,medium,tlim2.0win0.25,95,0.181,0.306,0.442,0.606,0.762,0.934,1.104,1.277,1.505,1.619,1.788,1.955,2.122,2.29
145,total,medium,tlim3.0win0.25,5,0.07,0.165,0.273,0.384,0.483,0.596,0.708,0.825,0.962,1.004,1.108,1.21,1.31,1.409
145,total,medium,tlim3.0win0.25,17,0.099,0.192,0.298,0.413,0.519,0.644,0.767,0.894,1.043,1.085,1.199,1.313,1.425,1.536
145,total,medium,tlim3.0win0.25,50,0.134,0.229,0.336,0.462,0.582,0.725,0.872,1.022,1.186,1.271,1.414,1.556,1.698,1.838
145,total,medium,tlim3.0win0.25,83,0.172,0.274,0.39,0.537,0.681,0.853,1.035,1.218,1.412,1.553,1.737,1.92,2.104,2.285
145,total,medium,tlim3.0win0.25,95,0.204,0.31,0.438,0.603,0.77,0.967,1.178,1.395,1.624,1.782,1.996,2.207,2.421,2.634
145,total,medium,tlim4.0win0.25,5,0.09,0.172,0.268,0.391,0.485,0.61,0.735,0.882,1.003,1.038,1.158,1.277,1.395,1.51
145,total,medium,tlim4.0win0.25,17,0.104,0.194,0.296,0.418,0.525,0.653,0.787,0.939,1.102,1.146,1.279,1.412,1.544,1.672
145,total,medium,tlim4.0win0.25,50,0.124,0.224,0.337,0.464,0.592,0.732,0.886,1.054,1.272,1.37,1.535,1.7,1.864,2.023
145,total,medium,tlim4.0win0.25,83,0.146,0.262,0.392,0.535,0.692,0.861,1.049,1.254,1.527,1.68,1.892,2.104,2.314,2.519
145,total,medium,tlim4.0win0.25,95,0.165,0.296,0.441,0.6,0.781,0.975,1.196,1.436,1.756,1.935,2.18,2.427,2.672,2.912
145,total,medium,tlim5.0win0.25,5,0.102,0.208,0.315,0.431,0.538,0.667,0.81,0.959,1.09,1.08,1.203,1.326,1.442,1.553
145,total,medium,tlim5.0win0.25,17,0.113,0.22,0.333,0.454,0.569,0.707,0.855,1.026,1.185,1.198,1.34,1.48,1.614,1.743
145,total,medium,tlim5.0win0.25,50,0.129,0.24,0.364,0.497,0.628,0.782,0.95,1.15,1.36,1.458,1.643,1.824,1.999,2.169
145,total,medium,tlim5.0win0.25,83,0.15,0.272,0.413,0.57,0.728,0.915,1.126,1.37,1.644,1.825,2.07,2.312,2.548,2.778
145,total,medium,tlim5.0win0.25,95,0.167,0.301,0.46,0.639,0.821,1.041,1.286,1.567,1.9,2.12,2.408,2.689,2.97,3.246
