psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
12,total,medium,tlim1.5win0.25,5,0.028,0.05,0.097,0.163,0.206,0.233,0.282,0.323,0.342,0.307,0.325,0.343,0.358,0.372
12,total,medium,tlim1.5win0.25,17,0.059,0.105,0.167,0.241,0.294,0.335,0.388,0.439,0.477,0.456,0.486,0.516,0.545,0.572
12,total,medium,tlim1.5win0.25,50,0.096,0.174,0.258,0.346,0.415,0.482,0.548,0.615,0.68,0.69,0.744,0.798,0.851,0.903
12,total,medium,tlim1.5win0.25,83,0.136,0.249,0.358,0.463,0.555,0.651,0.735,0.825,0.917,0.964,1.047,1.13,1.211,1.292
12,total,medium,tlim1.5win0.25,95,0.169,0.309,0.437,0.558,0.665,0.785,0.882,0.99,1.103,1.168,1.271,1.374,1.477,1.577
12,total,medium,tlim2.0win0.25,5,0.068,0.088,0.108,0.14,0.213,0.289,0.329,0.378,0.402,0.373,0.405,0.436,0.465,0.494
12,total,medium,tlim2.0win0.25,17,0.084,0.132,0.18,0.232,0.306,0.381,0.43,0.481,0.52,0.505,0.549,0.592,0.634,0.674
12,total,medium,tlim2.0win0.25,50,0.106,0.188,0.27,0.35,0.43,0.51,0.578,0.638,0.706,0.732,0.802,0.872,0.94,1.008
12,total,medium,tlim2.0win0.25,83,0.132,0.251,0.371,0.485,0.577,0.674,0.766,0.845,0.942,1.02,1.125,1.229,1.333,1.433
12,total,medium,tlim2.0win0.25,95,0.153,0.302,0.453,0.594,0.7,0.81,0.924,1.021,1.142,1.249,1.38,1.508,1.635,1.761
12,total,medium,tlim3.0win0.25,5,0.055,0.097,0.143,0.221,0.281,0.364,0.436,0.484,0.553,0.521,0.566,0.61,0.651,0.691
12,total,medium,tlim3.0win0.25,17,0.075,0.133,0.196,0.279,0.35,0.436,0.51,0.573,0.651,0.631,0.687,0.742,0.796,0.849
12,total,medium,tlim3.0win0.25,50,0.102,0.18,0.266,0.358,0.449,0.542,0.631,0.722,0.824,0.86,0.946,1.032,1.116,1.2
12,total,medium,tlim3.0win0.25,83,0.132,0.233,0.346,0.456,0.574,0.687,0.804,0.934,1.07,1.167,1.293,1.419,1.546,1.672
12,total,medium,tlim3.0win0.25,95,0.156,0.279,0.415,0.541,0.681,0.813,0.952,1.112,1.28,1.411,1.568,1.728,1.887,2.048
12,total,medium,tlim4.0win0.25,5,0.026,0.035,0.079,0.139,0.23,0.328,0.407,0.493,0.539,0.515,0.578,0.643,0.701,0.758
12,total,medium,tlim4.0win0.25,17,0.058,0.095,0.161,0.239,0.334,0.436,0.528,0.627,0.71,0.707,0.791,0.874,0.955,1.033
12,total,medium,tlim4.0win0.25,50,0.097,0.169,0.262,0.366,0.474,0.592,0.709,0.842,0.972,1.038,1.164,1.29,1.412,1.533
12,total,medium,tlim4.0win0.25,83,0.138,0.249,0.373,0.509,0.636,0.78,0.937,1.109,1.3,1.439,1.616,1.793,1.971,2.144
12,total,medium,tlim4.0win0.25,95,0.172,0.313,0.465,0.625,0.769,0.932,1.12,1.33,1.567,1.74,1.958,2.175,2.391,2.605
12,total,medium,tlim5.0win0.25,5,0.059,0.093,0.202,0.322,0.417,0.512,0.567,0.708,0.843,0.799,0.883,0.965,1.044,1.118
12,total,medium,tlim5.0win0.25,17,0.079,0.14,0.246,0.362,0.459,0.561,0.648,0.79,0.917,0.889,0.985,1.079,1.168,1.253
12,total,medium,tlim5.0win0.25,50,0.106,0.194,0.3,0.415,0.524,0.641,0.772,0.926,1.053,1.114,1.247,1.376,1.502,1.622
12,total,medium,tlim5.0win0.25,83,0.136,0.254,0.367,0.496,0.629,0.781,0.965,1.156,1.319,1.472,1.66,1.845,2.028,2.205
12,total,medium,tlim5.0win0.25,95,0.162,0.31,0.431,0.575,0.732,0.915,1.144,1.37,1.567,1.759,1.992,2.22,2.443,2.662
