psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
331,total,medium,tlim1.5win0.25,5,0.04,0.07,0.11,0.15,0.19,0.23,0.27,0.30,0.33,0.30,0.32,0.34,0.36,0.37
331,total,medium,tlim1.5win0.25,17,0.05,0.09,0.14,0.19,0.23,0.28,0.33,0.37,0.41,0.38,0.41,0.43,0.46,0.49
331,total,medium,tlim1.5win0.25,50,0.07,0.12,0.18,0.24,0.30,0.37,0.43,0.49,0.55,0.54,0.59,0.63,0.68,0.72
331,total,medium,tlim1.5win0.25,83,0.09,0.16,0.23,0.32,0.39,0.48,0.56,0.65,0.73,0.74,0.82,0.89,0.96,1.03
331,total,medium,tlim1.5win0.25,95,0.10,0.19,0.28,0.38,0.47,0.58,0.68,0.78,0.88,0.90,0.99,1.08,1.17,1.26
331,total,medium,tlim2.0win0.25,5,0.05,0.08,0.11,0.16,0.20,0.25,0.30,0.34,0.39,0.36,0.39,0.42,0.44,0.47
331,total,medium,tlim2.0win0.25,17,0.06,0.10,0.14,0.20,0.25,0.31,0.37,0.41,0.47,0.45,0.49,0.53,0.56,0.60
331,total,medium,tlim2.0win0.25,50,0.07,0.13,0.19,0.26,0.32,0.40,0.48,0.55,0.62,0.64,0.70,0.76,0.82,0.88
331,total,medium,tlim2.0win0.25,83,0.09,0.16,0.24,0.34,0.43,0.53,0.63,0.73,0.83,0.88,0.98,1.07,1.16,1.26
331,total,medium,tlim2.0win0.25,95,0.10,0.19,0.29,0.41,0.52,0.64,0.77,0.88,1.01,1.08,1.20,1.32,1.43,1.55
331,total,medium,tlim3.0win0.25,5,0.04,0.09,0.13,0.19,0.24,0.30,0.37,0.43,0.48,0.46,0.51,0.56,0.60,0.64
331,total,medium,tlim3.0win0.25,17,0.05,0.10,0.15,0.21,0.28,0.35,0.42,0.50,0.57,0.55,0.61,0.67,0.73,0.78
331,total,medium,tlim3.0win0.25,50,0.07,0.12,0.18,0.26,0.34,0.43,0.52,0.62,0.71,0.75,0.83,0.92,1.00,1.09
331,total,medium,tlim3.0win0.25,83,0.09,0.15,0.23,0.33,0.43,0.55,0.68,0.80,0.94,1.03,1.16,1.28,1.41,1.53
331,total,medium,tlim3.0win0.25,95,0.10,0.18,0.27,0.39,0.52,0.66,0.81,0.97,1.14,1.25,1.40,1.56,1.72,1.87
331,total,medium,tlim4.0win0.25,5,0.05,0.07,0.12,0.18,0.24,0.31,0.39,0.48,0.56,0.54,0.61,0.68,0.74,0.81
331,total,medium,tlim4.0win0.25,17,0.06,0.09,0.15,0.22,0.29,0.37,0.45,0.55,0.65,0.64,0.73,0.81,0.89,0.97
331,total,medium,tlim4.0win0.25,50,0.07,0.13,0.19,0.28,0.37,0.46,0.57,0.68,0.82,0.87,0.98,1.10,1.21,1.32
331,total,medium,tlim4.0win0.25,83,0.09,0.17,0.25,0.36,0.47,0.60,0.74,0.89,1.06,1.17,1.33,1.49,1.65,1.80
331,total,medium,tlim4.0win0.25,95,0.11,0.20,0.30,0.43,0.57,0.72,0.88,1.06,1.27,1.41,1.61,1.81,2.00,2.19
331,total,medium,tlim5.0win0.25,5,0.05,0.09,0.16,0.23,0.30,0.40,0.49,0.60,0.70,0.65,0.73,0.82,0.89,0.97
331,total,medium,tlim5.0win0.25,17,0.06,0.11,0.18,0.26,0.34,0.44,0.54,0.66,0.77,0.75,0.84,0.94,1.03,1.11
331,total,medium,tlim5.0win0.25,50,0.07,0.14,0.21,0.31,0.40,0.51,0.63,0.77,0.92,0.97,1.10,1.23,1.35,1.47
331,total,medium,tlim5.0win0.25,83,0.09,0.17,0.26,0.38,0.50,0.64,0.79,0.98,1.18,1.31,1.49,1.67,1.85,2.02
331,total,medium,tlim5.0win0.25,95,0.11,0.20,0.31,0.45,0.59,0.76,0.95,1.17,1.42,1.58,1.81,2.03,2.24,2.46
