psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
440,total,medium,tlim1.5win0.25,5,0.141,0.241,0.368,0.51,0.619,0.74,0.847,0.937,1.065,1.104,1.2,1.294,1.387,1.479
440,total,medium,tlim1.5win0.25,17,0.162,0.279,0.41,0.552,0.672,0.793,0.908,1.014,1.148,1.19,1.293,1.394,1.495,1.595
440,total,medium,tlim1.5win0.25,50,0.19,0.328,0.47,0.618,0.752,0.883,1.016,1.15,1.292,1.362,1.484,1.606,1.726,1.846
440,total,medium,tlim1.5win0.25,83,0.221,0.385,0.541,0.7,0.854,1.003,1.159,1.322,1.48,1.579,1.726,1.873,2.016,2.161
440,total,medium,tlim1.5win0.25,95,0.245,0.428,0.596,0.767,0.94,1.103,1.278,1.463,1.638,1.746,1.912,2.074,2.238,2.402
440,total,medium,tlim2.0win0.25,5,0.134,0.245,0.362,0.455,0.605,0.729,0.83,0.95,1.057,1.097,1.198,1.296,1.394,1.49
440,total,medium,tlim2.0win0.25,17,0.162,0.287,0.414,0.529,0.672,0.807,0.927,1.049,1.172,1.224,1.337,1.448,1.559,1.668
440,total,medium,tlim2.0win0.25,50,0.197,0.339,0.484,0.628,0.768,0.923,1.074,1.207,1.36,1.452,1.592,1.731,1.868,2.004
440,total,medium,tlim2.0win0.25,83,0.234,0.398,0.564,0.744,0.892,1.072,1.264,1.414,1.599,1.74,1.915,2.088,2.26,2.432
440,total,medium,tlim2.0win0.25,95,0.265,0.447,0.631,0.841,0.993,1.197,1.416,1.586,1.799,1.961,2.162,2.362,2.561,2.759
440,total,medium,tlim3.0win0.25,5,0.152,0.292,0.42,0.548,0.656,0.777,0.923,1.053,1.173,1.215,1.335,1.453,1.569,1.681
440,total,medium,tlim3.0win0.25,17,0.165,0.304,0.44,0.577,0.703,0.841,0.995,1.139,1.284,1.338,1.471,1.602,1.732,1.859
440,total,medium,tlim3.0win0.25,50,0.182,0.324,0.473,0.625,0.776,0.939,1.113,1.282,1.466,1.575,1.739,1.902,2.064,2.224
440,total,medium,tlim3.0win0.25,83,0.203,0.354,0.521,0.698,0.883,1.079,1.286,1.493,1.72,1.892,2.099,2.305,2.511,2.715
440,total,medium,tlim3.0win0.25,95,0.222,0.382,0.568,0.766,0.976,1.2,1.433,1.666,1.939,2.142,2.383,2.62,2.859,3.097
440,total,medium,tlim4.0win0.25,5,0.157,0.251,0.382,0.51,0.665,0.814,0.963,1.133,1.264,1.312,1.452,1.593,1.732,1.868
440,total,medium,tlim4.0win0.25,17,0.171,0.283,0.42,0.561,0.713,0.868,1.029,1.205,1.362,1.425,1.579,1.733,1.885,2.034
440,total,medium,tlim4.0win0.25,50,0.19,0.324,0.472,0.632,0.788,0.962,1.149,1.34,1.534,1.659,1.848,2.036,2.222,2.404
440,total,medium,tlim4.0win0.25,83,0.212,0.373,0.539,0.725,0.895,1.101,1.325,1.554,1.793,1.98,2.217,2.452,2.688,2.918
440,total,medium,tlim4.0win0.25,95,0.231,0.413,0.595,0.802,0.99,1.222,1.477,1.737,2.023,2.245,2.517,2.788,3.057,3.327
440,total,medium,tlim5.0win0.25,5,0.115,0.237,0.379,0.528,0.674,0.874,1.062,1.177,1.248,1.253,1.382,1.509,1.633,1.751
440,total,medium,tlim5.0win0.25,17,0.152,0.285,0.431,0.591,0.745,0.931,1.112,1.27,1.407,1.431,1.582,1.732,1.874,2.012
440,total,medium,tlim5.0win0.25,50,0.193,0.34,0.495,0.67,0.844,1.022,1.212,1.423,1.632,1.747,1.943,2.136,2.324,2.506
440,total,medium,tlim5.0win0.25,83,0.236,0.402,0.571,0.771,0.973,1.168,1.389,1.66,1.956,2.167,2.425,2.679,2.929,3.177
440,total,medium,tlim5.0win0.25,95,0.276,0.459,0.641,0.863,1.089,1.304,1.554,1.878,2.249,2.5,2.805,3.106,3.407,3.703
